date,kwh1,kw1,kwh2,kw2,billed_kwh,solar_kwh,total_kwh,mg_finish,mg_raw
01/01/2010,13014,758.4,0,0,13014,0,13014,11.67,12.2
01/02/2010,14058,811.2,0,0,14058,0,14058,11.74,12.66
01/03/2010,14560.8,842.4,0,0,14560.8,0,14560.8,13.15,14.55
01/04/2010,14814,756,0,0,14814,0,14814,12.95,13.93
01/05/2010,15052.8,777.6,0,0,15052.8,0,15052.8,13.07,14.12
01/06/2010,14548.8,780,0,0,14548.8,0,14548.8,12.18,13.36
01/07/2010,15664.8,801.6,0,0,15664.8,0,15664.8,13.59,13.94
01/08/2010,14539.2,804,0,0,14539.2,0,14539.2,12.74,14.44
01/09/2010,14691.6,832.8,0,0,14691.6,0,14691.6,13.3,14.34
01/10/2010,14893.2,816,0,0,14893.2,0,14893.2,13.18,13.91
01/11/2010,16530,895.2,0,0,16530,0,16530,13.96,15.19
01/12/2010,15998.4,952.8,0,0,15998.4,0,15998.4,13.69,14.46
01/13/2010,16612.8,873.6,0,0,16612.8,0,16612.8,14.04,15.85
01/14/2010,16408.8,981.6,0,0,16408.8,0,16408.8,13.89,14.5
01/15/2010,16626,974.4,0,0,16626,0,16626,14.5,16.46
01/16/2010,15406.8,964.8,0,0,15406.8,0,15406.8,14.48,14.59
01/17/2010,15234,823.2,0,0,15234,0,15234,13.83,15.45
01/18/2010,15579.6,849.6,0,0,15579.6,0,15579.6,13.8,15.44
01/19/2010,16526.4,938.4,0,0,16526.4,0,16526.4,14.3,15.43
01/20/2010,15531.6,921.6,0,0,15531.6,0,15531.6,13.2,14.21
01/21/2010,15333.6,856.8,0,0,15333.6,0,15333.6,13.63,14.35
01/22/2010,15937.2,1041.6,0,0,15937.2,0,15937.2,13.72,15.07
01/23/2010,14521.2,979.2,0,0,14521.2,0,14521.2,13.58,13.87
01/24/2010,15222,868.8,0,0,15222,0,15222,13.71,15.25
01/25/2010,16066.8,926.4,0,0,16066.8,0,16066.8,13.7,15.13
01/26/2010,15763.2,1027.2,0,0,15763.2,0,15763.2,12.85,13.79
01/27/2010,16689.6,960,0,0,16689.6,0,16689.6,14.26,14.94
01/28/2010,16600.8,904.8,0,0,16600.8,0,16600.8,14,15.75
01/29/2010,16891.2,1132.8,0,0,16891.2,0,16891.2,13.75,14.71
01/30/2010,15985.2,993.6,0,0,15985.2,0,15985.2,13.54,14.05
01/31/2010,16016.4,1003.2,0,0,16016.4,0,16016.4,13.49,14.28
02/01/2010,17858.4,909.6,0,0,17858.4,0,17858.4,15.21,17.43
02/02/2010,15898.8,986.4,0,0,15898.8,0,15898.8,13.42,14.53
02/03/2010,15832.8,924,0,0,15832.8,0,15832.8,13.27,14.37
02/04/2010,16850.4,876,0,0,16850.4,0,16850.4,13.87,15.15
02/05/2010,16159.2,816,0,0,16159.2,0,16159.2,13.44,14.58
02/06/2010,15087.6,888,0,0,15087.6,0,15087.6,13.12,13.96
02/07/2010,16291.2,931.2,0,0,16291.2,0,16291.2,14.18,15.57
02/08/2010,16374,945.6,0,0,16374,0,16374,13.48,14.29
02/09/2010,16017.6,919.2,0,0,16017.6,0,16017.6,13.29,15.58
02/10/2010,15955.2,921.6,0,0,15955.2,0,15955.2,13.53,14.2
02/11/2010,15152.4,840,0,0,15152.4,0,15152.4,12.61,13.82
02/12/2010,17762.4,895.2,0,0,17762.4,0,17762.4,14.4,16.47
02/13/2010,15176.4,871.2,0,0,15176.4,0,15176.4,13.62,14.32
02/14/2010,15795.6,933.6,0,0,15795.6,0,15795.6,13.26,14.61
02/15/2010,16484.4,948,0,0,16484.4,0,16484.4,14.22,15.46
02/16/2010,15598.8,892.8,0,0,15598.8,0,15598.8,13.6,13.6
02/17/2010,17611.2,938.4,0,0,17611.2,0,17611.2,14.74,17.02
02/18/2010,15726,933.6,0,0,15726,0,15726,13.29,13.93
02/19/2010,15902.4,883.2,0,0,15902.4,0,15902.4,13.81,15.45
02/20/2010,14956.8,1024.8,0,0,14956.8,0,14956.8,13.28,13.97
02/21/2010,15151.2,931.2,0,0,15151.2,0,15151.2,13.57,15.35
02/22/2010,16128,866.4,0,0,16128,0,16128,13.39,14.57
02/23/2010,17018.4,890.4,0,0,17018.4,0,17018.4,14.36,16.22
02/24/2010,16195.2,912,0,0,16195.2,0,16195.2,13.56,14.28
02/25/2010,17511.6,885.6,0,0,17511.6,0,17511.6,14.36,16.12
02/26/2010,16098,840,0,0,16098,0,16098,13.8,14.38
02/27/2010,15914.4,1032,0,0,15914.4,0,15914.4,13.42,15.36
02/28/2010,15189.6,998.4,0,0,15189.6,0,15189.6,13.57,14.57
03/01/2010,16471.2,820.8,0,0,16471.2,0,16471.2,14.58,15.57
03/02/2010,15704.4,823.2,0,0,15704.4,0,15704.4,13.34,14.92
03/03/2010,16052.4,866.4,0,0,16052.4,0,16052.4,13.86,14.93
03/04/2010,16506,916.8,0,0,16506,0,16506,14.65,15.53
03/05/2010,17028,969.6,0,0,17028,0,17028,15.04,16.03
